Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad)
0,0,0,0,0,0,0,7.7175,0,0
1,0,-0.000881109093038606,0.00467568124486468,7.7175,0,0,7.71750005029823,0,0
2,-5.05061946273619e-08,-0.00194062972400084,0.00893315986668464,15.435,-0.000881109093038606,0.00467568124486468,7.71750019348757,0,0
3,-2.78632950096638e-07,-0.00315310473839392,0.0128247452746449,23.1525000821634,-0.00219194425960544,0.0136088411115493,7.71750036549205,0,0
4,-8.39532020045812e-07,-0.00449637621971385,0.0163960195595167,30.8700003347604,-0.00351199545570486,0.0264335863861942,7.71750047030922,0,0
5,-1.90513560301529e-06,-0.00595115988821997,0.0196867033367701,38.5875007483234,-0.00444787904127373,0.0428296059457109,7.71750038940975,0,0
6,-3.6560903363542e-06,-0.00750067436189825,0.0227314102240254,46.3050011355825,-0.00463007183311137,0.062516309282481,7.71749998888078,0,0
7,-6.27604792635639e-06,-0.00913031821971858,0.0255603042743371,54.022501069626,-0.00371006403465275,0.0852477195065063,7.71749912484287,0,0
8,-9.9476885145021e-06,-0.0108273887102223,0.0281996728380958,61.7399998360119,-0.00135787722244622,0.110808023780843,7.71749764754567,0,0
9,-1.48500112457183e-05,-0.0125808367382528,0.030672425720993,69.4574963955485,0.00274009952320731,0.139007696618939,7.71749540445279,0,0
10,-2.11565455607553e-05,-0.014381053452539,0.0329985301092313,77.1749893552194,0.00888299623494717,0.169680122339932,7.71749224255297,30,0.523598775598299
11,-2.90342261149153e-05,-0.0162196843589209,0.0351953895174194,84.892476945317,0.0173571070645734,0.202678652449164,7.71748801007968,30,0.523598775598299
12,-0.000349878090447976,-0.0235775738784306,0.0559458942610391,92.6099570013003,0.0284373247441585,0.237874041966583,7.71718613913638,30,0.523598775598299
13,-0.00162143225673303,-0.0370042944142834,0.0934229199979131,100.327138501398,0.0368990402578293,0.293819936227622,7.71596730099117,30,0.523598775598299
14,-0.00447668816450179,-0.056855675808664,0.145708104944202,108.04310537638,0.0394630510394428,0.387242856225535,7.7132328615691,30,0.523598775598299
